"filename", "language", "PHP", "JavaScript", "CSS", "JSON", "XML", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\detach.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\dissociate.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\edit.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\force-delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\group.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\modal.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 9, 24
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\replicate.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\restore.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\view.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 26
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\fa\associate.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\fa\attach.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\fa\create.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 16, 38
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\fa\delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\fa\detach.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\fa\dissociate.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\fa\edit.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\fa\force-delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
